cluster_4,cluster_6,cluster_8,cluster_13,Gas6-72008122
1,5,4,10,0.06208365
0,5,4,4,0.067905046
1,5,4,4,0.06389602
0,0,0,0,0.07860467
0,0,7,0,0.08356234
3,4,3,3,0.093473256
3,4,3,11,0.1004067
3,3,3,11,0.10530687
3,4,3,3,0.094494425
0,0,7,0,0.08242284
3,4,7,7,0.09093755
0,0,0,8,0.07285296
1,5,4,10,0.061227355
0,5,4,4,0.06584518
0,5,4,4,0.066200726
0,0,0,8,0.075072736
0,0,0,8,0.07284758
3,4,7,7,0.086937584
3,4,3,3,0.09603612
3,4,3,3,0.09573465
3,4,7,7,0.08797129
3,4,7,7,0.08947914
0,0,0,8,0.073364265
1,5,4,10,0.062264632
1,5,4,4,0.06425093
0,5,4,4,0.06798826
0,0,0,0,0.07743596
0,5,0,8,0.07030073
0,0,0,0,0.07935248
3,4,3,3,0.094692886
1,5,4,10,0.060563948
0,5,0,4,0.069799006
0,0,0,0,0.07709314
3,4,3,3,0.09444446
0,0,7,0,0.08074326
0,0,7,7,0.08449916
3,4,3,3,0.093719505
3,4,3,3,0.093771026
3,4,7,7,0.08886999
0,0,7,7,0.08619254
1,5,4,10,0.056736648
3,3,6,11,0.10945177
3,4,7,7,0.090783216
0,0,0,0,0.07983637
0,5,4,4,0.06474221
0,5,4,4,0.06751292
0,0,0,0,0.0775957
0,5,4,4,0.06646074
1,1,1,1,0.050776444
0,0,0,0,0.07882625
3,4,7,3,0.091524884
0,0,7,7,0.08465088
0,0,7,7,0.08538184
0,5,0,8,0.07217856
0,0,0,8,0.07490219
0,5,0,8,0.0720601
0,0,0,8,0.07388142
0,0,0,0,0.07806305
0,0,7,0,0.08063667
1,1,1,12,0.042374335
1,1,1,1,0.04409084
1,1,1,1,0.045616657
1,5,4,10,0.05865752
1,5,4,10,0.055861417
1,5,4,10,0.06093099
0,5,0,4,0.06910272
0,0,7,7,0.084975414
0,0,7,0,0.08071532
0,0,0,8,0.07387164
0,0,0,0,0.078712724
1,1,1,12,0.03872081
1,1,1,1,0.0477153
1,1,1,12,0.03242074
1,1,1,1,0.04980877
1,1,1,1,0.048723053
1,5,4,10,0.062384553
0,0,7,0,0.08088969
3,4,7,3,0.09148871
0,0,7,7,0.08380703
0,0,0,0,0.07807502
3,4,7,7,0.08720501
1,1,1,1,0.05035468
1,1,1,12,0.04297645
1,5,4,10,0.05948446
1,5,4,4,0.06439295
0,0,7,0,0.08075158
3,4,7,7,0.091026396
3,4,3,3,0.09387587
0,0,7,7,0.085209526
0,0,7,7,0.08616062
3,4,7,3,0.091444395
1,5,4,10,0.06272168
1,5,4,4,0.06355544
1,1,4,10,0.05548647
0,5,0,8,0.07004411
0,0,0,8,0.07517073
0,0,7,7,0.08430581
3,4,7,7,0.09088486
3,4,3,3,0.09711433
0,0,7,7,0.085842565
3,4,7,7,0.08705962
3,4,7,7,0.088306084
0,5,4,4,0.06748327
0,5,0,8,0.07031375
0,5,4,4,0.065329306
0,0,0,8,0.07551309
0,0,0,8,0.073087625
0,0,0,0,0.07839887
3,4,3,3,0.09237806
0,0,7,7,0.08566417
0,0,7,0,0.082865775
3,4,7,7,0.08763087
0,5,4,4,0.06584194
0,5,4,4,0.068604484
0,5,0,8,0.071942456
0,0,0,0,0.076805815
0,5,4,4,0.06866621
0,0,0,8,0.07298231
3,4,7,7,0.089403786
0,0,7,0,0.08283793
1,5,4,4,0.063099034
0,5,0,4,0.06912273
0,0,0,8,0.07659702
0,0,0,0,0.079167716
0,5,0,8,0.07136493
0,0,0,8,0.07436716
0,0,7,0,0.08184727
0,0,0,0,0.07943606
1,5,4,4,0.06423662
0,0,0,0,0.080014326
