cluster_4,cluster_6,cluster_8,cluster_13,X,Y,Z,Chat-252
3,1,7,7,58,32,26,0.008268217
3,3,7,7,59,32,26,0.006511665
0,0,0,0,60,32,26,-1.0
1,4,5,10,61,32,26,0.016259205
1,4,5,8,62,32,26,0.021939272
3,3,7,7,63,32,26,0.006030415
0,0,0,0,64,32,26,-1.0
3,3,4,9,53,33,26,0.001329098
3,1,1,1,54,33,26,0.009772166
3,1,7,7,55,33,26,0.00860723
1,4,5,5,56,33,26,0.020357704
1,1,1,10,57,33,26,0.014004867
1,1,1,10,58,33,26,0.013750113
3,1,7,1,59,33,26,0.009054947
0,0,0,0,60,33,26,-1.0
1,4,5,8,62,33,26,0.02337708
3,3,4,9,53,34,26,0.000875871
3,1,7,7,54,34,26,0.007068403
3,1,7,1,55,34,26,0.009087662
1,4,5,8,56,34,26,0.023494717
1,1,1,10,57,34,26,0.013866541
1,4,5,10,58,34,26,0.016650533
3,1,1,1,59,34,26,0.00964446
0,0,0,0,60,34,26,-1.0
3,3,4,4,54,35,26,0.003516543
3,3,7,7,55,35,26,0.005926448
1,4,5,10,56,35,26,0.016053528
3,1,7,7,57,35,26,0.008435248
1,1,1,1,58,35,26,0.01093819
3,3,7,7,59,35,26,0.006582649
0,0,0,0,60,35,26,-1.0
3,3,4,9,55,36,26,0.002099828
3,3,4,4,57,36,26,0.002888816
3,3,4,4,58,36,26,0.003903031
0,0,0,0,60,26,27,-1.0
1,4,3,12,55,27,27,0.026843833
3,3,4,4,56,27,27,0.004584425
3,3,4,4,57,27,27,0.004798579
3,3,4,4,58,27,27,0.003726858
3,3,7,4,59,27,27,0.004960688
3,1,7,1,61,27,27,0.008897536
1,1,1,10,62,27,27,0.014147673
3,3,4,4,54,28,27,0.003470263
1,4,5,5,55,28,27,0.020329727
3,3,4,4,56,28,27,0.004163685
3,3,7,7,57,28,27,0.005821135
3,3,7,7,58,28,27,0.005699281
3,3,4,4,59,28,27,0.003079041
0,0,0,0,60,28,27,-1.0
3,3,7,7,61,28,27,0.005786358
1,1,1,10,62,28,27,0.013153724
3,3,7,7,63,28,27,0.006755771
0,0,0,0,64,28,27,-1.0
3,3,4,9,54,29,27,0.001141714
3,3,4,9,55,29,27,0.001920476
3,3,4,9,56,29,27,0.001274075
3,3,7,7,57,29,27,0.005483653
3,3,7,7,58,29,27,0.00663276
3,3,4,9,59,29,27,0.002616014
0,0,0,0,60,29,27,-1.0
3,3,4,4,61,29,27,0.004670217
1,1,1,10,62,29,27,0.012977649
3,3,4,4,63,29,27,0.004216994
0,0,0,0,64,29,27,-1.0
3,3,4,9,54,30,27,0.001864656
3,3,4,9,55,30,27,0.001509993
3,3,4,9,56,30,27,0.000733875
3,3,4,4,57,30,27,0.00296331
3,3,7,7,58,30,27,0.006388204
3,3,4,4,59,30,27,0.002971492
0,0,0,0,60,30,27,-1.0
3,3,7,7,61,30,27,0.006839148
1,1,1,10,62,30,27,0.013713952
3,3,7,4,63,30,27,0.005203272
0,0,0,0,64,30,27,-1.0
3,3,4,4,54,31,27,0.003898301
3,3,4,9,55,31,27,0.001721149
3,3,4,9,56,31,27,0.001053379
3,3,4,9,57,31,27,0.001994853
3,3,7,7,58,31,27,0.006053991
3,3,4,4,59,31,27,0.004240615
0,0,0,0,60,31,27,-1.0
1,4,5,10,62,31,27,0.016186854
3,3,7,4,63,31,27,0.005251845
3,3,7,4,54,32,27,0.004893767
3,3,4,9,55,32,27,0.002076276
3,3,4,9,56,32,27,0.002609509
3,3,4,4,57,32,27,0.003449234
3,1,7,7,58,32,27,0.007849154
0,0,0,0,60,32,27,-1.0
1,4,5,5,62,32,27,0.018259607
3,3,4,9,53,33,27,0.000826554
3,3,4,4,54,33,27,0.004271899
3,3,4,9,55,33,27,0.002198733
3,3,4,4,56,33,27,0.004188253
3,3,7,7,57,33,27,0.006401048
1,1,1,1,58,33,27,0.012290929
3,1,7,7,59,33,27,0.008531502
0,0,0,0,60,33,27,-1.0
3,3,4,9,53,34,27,0.000360927
3,3,4,9,54,34,27,0.002457447
3,3,4,4,55,34,27,0.002852736
3,3,7,7,56,34,27,0.005515674
3,3,7,7,57,34,27,0.006281973
1,1,1,10,58,34,27,0.015403226
3,1,1,1,59,34,27,0.00941632
3,3,4,9,54,35,27,0.001053348
3,3,4,9,55,35,27,0.00276101
3,3,7,7,56,35,27,0.005922047
3,3,4,4,57,35,27,0.003927881
3,1,7,1,58,35,27,0.009264096
3,3,4,9,55,36,27,0.001216397
3,3,4,9,56,26,28,0.002163271
0,0,0,0,60,26,28,-1.0
1,1,1,1,55,27,28,0.012505907
3,3,4,9,58,27,28,0.002261634
3,3,4,4,59,27,28,0.003907502
0,0,0,0,60,27,28,-1.0
3,1,7,1,61,27,28,0.008905232
1,4,5,5,62,27,28,0.018875666
3,3,4,9,54,28,28,0.001781763
1,1,1,1,55,28,28,0.009844301
0,0,0,0,60,28,28,-1.0
3,3,7,7,61,28,28,0.005481117
1,1,1,10,62,28,28,0.012808239
3,1,7,7,63,28,28,0.007324661
